iter	F1	Logloss
0	0.01934916447	0.6831293311
1	0.01241134752	0.6743080126
2	0.007117437722	0.6660720207
3	0	0.6589697384
4	0	0.6526602572
5	0	0.6468177797
6	0	0.6413783113
7	0	0.6368260729
8	0	0.632447201
9	0	0.6286501753
10	0	0.62518631
11	0	0.6220029389
12	0	0.6192687915
13	0	0.6164823973
14	0	0.6137887298
15	0	0.6114099184
16	0	0.6088538762
17	0	0.6064710377
18	0	0.604680096
19	0	0.6031268119
20	0	0.6017306509
21	0	0.5997516831
22	0	0.597910354
23	0	0.5964642886
24	0	0.5953289643
25	0	0.5944126277
26	0	0.5935978493
27	0	0.5923856323
28	0	0.5912878598
29	0	0.5898621472
30	0	0.5891499454
31	0	0.588056952
32	0	0.5866671528
33	0	0.5855321093
34	0	0.5847968663
35	0	0.5840844066
36	0	0.5833744825
37	0	0.5824577291
38	0	0.5816268191
39	0	0.5807635757
40	0	0.5802351807
41	0	0.5794119222
42	0	0.5790838902
43	0	0.5783926176
44	0	0.577769309
45	0	0.5769386714
46	0	0.576600686
47	0	0.5761504737
48	0	0.5755264424
49	0	0.5750805525
50	0	0.574433009
51	0	0.5739721709
52	0	0.573208857
53	0	0.5726199851
54	0	0.5720873223
55	0	0.5717150891
56	0	0.5711717225
57	0	0.5705064913
58	0	0.5694308996
59	0	0.56898224
60	0	0.5685337972
61	0	0.5679927597
62	0	0.5675768389
63	0	0.5672029865
64	0	0.5668173329
65	0	0.5663034411
66	0	0.5658222225
67	0	0.5653317125
68	0	0.5645541686
69	0	0.5639417823
70	0.00178412132	0.5634959863
71	0.00178412132	0.5630073919
72	0.00178412132	0.5624408481
73	0.00178412132	0.5618802353
74	0.00178412132	0.5616415688
75	0.00178412132	0.5612709065
76	0.00178412132	0.5605099195
77	0.00178412132	0.5600883115
78	0.00178412132	0.5595767854
79	0.005342831701	0.5590498248
80	0.007117437722	0.5587012452
81	0.008888888889	0.5581274611
82	0.008888888889	0.5577265719
83	0.008888888889	0.5573884152
84	0.007117437722	0.5570737016
85	0.007117437722	0.556805423
86	0.008888888889	0.5564261023
87	0.01065719361	0.5561420781
88	0.01065719361	0.5555916264
89	0.01242236025	0.5551042751
90	0.01242236025	0.5545828208
91	0.01769911504	0.5540598034
92	0.02120141343	0.5536703062
93	0.02294792586	0.5532428098
94	0.02294792586	0.5529762839
95	0.02469135802	0.5525048892
96	0.02643171806	0.5519991466
97	0.02643171806	0.5514129488
98	0.02643171806	0.5511821301
99	0.02643171806	0.5507474649
100	0.02643171806	0.550350183
101	0.02643171806	0.5500691113
102	0.02816901408	0.54967126
103	0.02816901408	0.5491859528
104	0.02816901408	0.5486702481
105	0.02990325418	0.5480786461
106	0.0316344464	0.5472058753
107	0.03336259877	0.5466958625
108	0.03336259877	0.5463186613
109	0.0350877193	0.5460243129
110	0.0350877193	0.5458167995
111	0.0350877193	0.5454040007
112	0.0350877193	0.5451360051
113	0.0350877193	0.5449089254
114	0.0350877193	0.5445686277
115	0.0350877193	0.5443081344
116	0.0350877193	0.5437903595
117	0.0350877193	0.5434943846
118	0.0350877193	0.5432363471
119	0.0350877193	0.5427209648
120	0.0350877193	0.5424134973
121	0.0350877193	0.5421062647
122	0.0350877193	0.541703541
123	0.0350877193	0.5413371696
124	0.0350877193	0.5406695883
125	0.03680981595	0.5403973852
126	0.03680981595	0.540080945
127	0.03852889667	0.5398122741
128	0.03852889667	0.5395185962
129	0.04024496938	0.539172687
130	0.04024496938	0.5387370158
131	0.04366812227	0.53841858
132	0.04366812227	0.5381862946
133	0.04537521815	0.5378974771
134	0.0470793374	0.5373923576
135	0.05047867711	0.536826883
136	0.05047867711	0.5365007834
137	0.05047867711	0.5359332995
138	0.05047867711	0.5354601476
139	0.05047867711	0.5351043254
140	0.0538662033	0.534684186
141	0.0538662033	0.5341280249
142	0.0538662033	0.5339210111
143	0.05555555556	0.5335456079
144	0.05724197745	0.5330115917
145	0.0589254766	0.5327355934
146	0.06060606061	0.5322517639
147	0.06228373702	0.531915607
148	0.0639585134	0.5316087416
149	0.0639585134	0.5312977996
150	0.0639585134	0.5308769473
151	0.0639585134	0.5303717851
152	0.06729939603	0.529907836
153	0.06896551724	0.5292177059
154	0.0706287683	0.5288279133
155	0.07228915663	0.5284287213
156	0.07228915663	0.5279770585
157	0.07553648069	0.5274857883
158	0.08041060736	0.5270324267
159	0.07876712329	0.5266042746
160	0.07876712329	0.5262303988
161	0.08041060736	0.525915134
162	0.07876712329	0.5256698852
163	0.07876712329	0.5253781988
164	0.08041060736	0.5251141795
165	0.08205128205	0.5245518535
166	0.08532423208	0.524062102
167	0.08532423208	0.5236806433
168	0.08532423208	0.5233625975
169	0.08695652174	0.5228763085
170	0.08858603066	0.5223864822
171	0.08858603066	0.5220050304
172	0.08695652174	0.5215399914
173	0.08695652174	0.5211027602
174	0.08858603066	0.5207532276
175	0.09183673469	0.5202652787
176	0.09183673469	0.5195600847
177	0.09183673469	0.5192258598
178	0.09669211196	0.518719649
179	0.09830508475	0.5183410048
180	0.09830508475	0.5178958273
181	0.09830508475	0.5174699856
182	0.1015228426	0.5170850862
183	0.1015228426	0.5166498143
184	0.1031276416	0.5163281252
185	0.1031276416	0.5160825649
186	0.1063291139	0.5157003218
187	0.1063291139	0.515408565
188	0.1047297297	0.5150489502
189	0.1095197978	0.5146135258
190	0.1111111111	0.5140193382
191	0.1126997477	0.5136114075
192	0.1142857143	0.5131966157
193	0.1142857143	0.51215479
194	0.1190276614	0.5118038512
195	0.1190276614	0.51141356
196	0.1174496644	0.511060358
197	0.1206030151	0.510730428
198	0.1206030151	0.5103614814
199	0.1206030151	0.5100611451
200	0.1253132832	0.5096166041
201	0.128440367	0.5092230697
202	0.128440367	0.5088289395
203	0.13	0.508504922
204	0.13	0.5082224666
205	0.13	0.5079252896
206	0.13	0.5075969491
207	0.1332223147	0.5070036667
208	0.1332223147	0.5065392479
209	0.136325852	0.5059259551
210	0.1378737542	0.5053441405
211	0.1378737542	0.5050103566
212	0.1409618574	0.5045476495
213	0.147107438	0.5038990977
214	0.147107438	0.5035081873
215	0.147107438	0.503110492
216	0.1501650165	0.5027765633
217	0.1516900247	0.5022394417
218	0.1532125206	0.5018267104
219	0.1532125206	0.5015167823
220	0.1547325103	0.5011985125
221	0.15625	0.5008775607
222	0.1577649959	0.5004568332
223	0.1638001638	0.4997892148
224	0.1638001638	0.4994682495
225	0.1638001638	0.49919164
226	0.1653027823	0.4986634524
227	0.1683006536	0.4982508056
228	0.1683006536	0.4978106623
229	0.1683006536	0.4975253282
230	0.1668029436	0.4972036423
231	0.1653027823	0.4969241212
232	0.1668029436	0.4965732556
233	0.1683006536	0.4963421246
234	0.1683006536	0.4960324615
235	0.1683006536	0.4956978618
236	0.1683006536	0.4954128792
237	0.1697959184	0.4950737887
238	0.1727791361	0.4943555302
239	0.1712887439	0.4940811909
240	0.1727791361	0.493801639
241	0.174267101	0.4935372629
242	0.1801948052	0.4929995407
243	0.1816707218	0.4925230826
244	0.1961414791	0.4916616995
245	0.1946902655	0.4913392538
246	0.1961414791	0.4907866322
247	0.1961414791	0.4905208819
248	0.1961414791	0.490289153
249	0.1975903614	0.4901000892
250	0.1975903614	0.4898077959
251	0.1975903614	0.4895052827
252	0.2048	0.4888470633
253	0.2119521912	0.4884198206
254	0.2133757962	0.4878219113
255	0.219047619	0.4875571005
256	0.219047619	0.4872359047
257	0.2176330421	0.4868671637
258	0.219047619	0.4863812919
259	0.2204599524	0.485509522
260	0.2204599524	0.4851585877
261	0.2218700475	0.4848693571
262	0.231678487	0.4840354846
263	0.231678487	0.4838088188
264	0.2330708661	0.4833885607
265	0.2358490566	0.4831258706
266	0.2358490566	0.4829361214
267	0.24	0.4826247166
268	0.24	0.4819239774
269	0.2455043002	0.4812580036
270	0.2455043002	0.4807882853
271	0.246875	0.4805557895
272	0.2496099844	0.4800491983
273	0.2523364486	0.4796455514
274	0.2536964981	0.4793935812
275	0.2604651163	0.4787972945
276	0.2604651163	0.4781573062
277	0.2591155935	0.4776597687
278	0.2618125484	0.4774128585
279	0.2631578947	0.477165639
280	0.272517321	0.4764031505
281	0.2778204144	0.476104677
282	0.2791411043	0.4757541781
283	0.2804597701	0.4755055557
284	0.2857142857	0.4750761306
285	0.2883295195	0.4747370483
286	0.2883295195	0.4745020305
287	0.2896341463	0.4740375883
288	0.290936786	0.4737675329
289	0.290936786	0.4734823927
290	0.2948328267	0.4732033066
291	0.2935361217	0.4727161512
292	0.2935361217	0.4720205218
293	0.2961275626	0.4716414281
294	0.2974203338	0.4713327963
295	0.2974203338	0.4710757234
296	0.3051359517	0.4703631882
297	0.3051359517	0.4701124686
298	0.3025718608	0.4696835313
299	0.3089675961	0.4684435204
